Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Falkland Islands,137.11,173.8,184.8,208.65,189.52,201.2,197.98,277.25,208.5,292.34
Faroe Islands,817.62,931.38,"1,152.60","1,054.15","1,309.72","1,436.51","1,300.24","1,485.30","1,550.57","1,462.04"
Fiji,682.39,785.25,818.29,881.45,862.12,889.21,781.2,731.81,779.04,732.54
Finland,"66,646.21","71,795.80","82,871.73","76,949.22","78,336.18","78,515.50","66,793.42","64,413.66","73,602.89","80,820.28"
France,"485,933.92","526,908.22","600,424.78","584,196.97","599,460.37","610,583.22","532,771.77","526,127.21","566,224.66","617,637.98"
French Polynesia,157.31,210.16,243.96,238.97,198.93,200.85,185.77,182.41,201.67,194.77
Gabon,"4,836.95","7,307.95","11,754.97","11,755.28","11,808.17","10,687.38","7,299.28","6,162.37","6,670.16","7,341.40"
"Gambia, The",65.3,69.88,150.95,167.98,139.78,116,133.14,173.88,215.3,116.38
Georgia,"1,786.51","2,238.13","2,842.32","2,539.65","2,556.42","2,792.13","2,270.57","1,940.49","2,437.92","2,571.30"
Germany,"1,106,445.08","1,244,586.78","1,439,567.26","1,392,207.88","1,431,068.42","1,477,092.90","1,313,205.46","1,304,585.27","1,406,632.59","1,521,160.03"
Ghana,"3,368.51","4,646.47","9,894.38","11,383.68","13,104.89","13,095.87","11,812.59","12,486.73","12,895.79","15,296.10"
Gibraltar,301.48,539,679.27,"1,276.26",910.47,"1,788.23",456.86,320.38,462.34,345.36
Greece,"21,668.84","24,370.63","29,056.13","29,948.75","32,355.73","31,966.69","25,881.19","25,317.70","29,386.22","34,688.37"
Greenland,624.59,598.51,713.71,702.65,762.4,732.53,773.16,888.73,982.34,"1,047.10"
Grenada,37.98,59.21,85.13,66.75,80.46,70.84,66.19,38.1,60.2,71.2
Guam,98.86,75.97,109.74,105.03,113.3,70.76,85.01,92.13,140.26,168.36
Guatemala,"7,869.55","8,631.05","11,146.97","10,776.82","10,696.84","11,221.38","11,364.31","10,950.86","11,786.29","11,380.36"
Guinea,"1,188.31","2,218.93","2,039.00","2,087.89","2,555.81","2,767.26","1,953.06","3,463.79","6,187.15","6,330.93"
Guinea-Bissau,150.71,158.63,372.61,157.35,219.87,247.79,309.51,378.23,368.13,178.92
Guyana,950.42,"1,111.11","1,448.46","1,677.46","1,520.25","1,569.72","1,315.09","1,562.72","1,575.73","1,495.35"
Haiti,662.34,693.47,866.2,922.38,"1,010.64","1,078.58","1,148.01","1,110.62","1,137.88","1,253.43"
Honduras,"5,692.55","6,771.71","8,221.35","8,566.05","8,298.83","8,599.70","8,546.32","8,284.42","8,712.31","8,967.89"
Hungary,"77,145.40","90,176.39","104,000.34","97,171.47","102,600.70","108,493.30","100,404.70","102,822.71","113,616.48","122,822.29"
Iceland,"4,066.37","4,711.76","5,406.23","5,045.85","5,145.25","5,224.26","5,022.05","4,585.05","5,307.77","5,724.83"
India,"167,710.78","227,695.63","286,209.46","279,088.24","287,370.78","290,561.10","256,774.93","251,481.34","289,202.56","319,661.09"
Indonesia,"137,355.50","177,225.40","222,398.76","218,767.89","211,047.63","202,294.54","174,392.17","166,694.28","191,252.39","208,412.53"
"Iran, I.R. of","67,997.35","90,460.80","118,701.78","88,325.05","67,729.55","67,996.00","41,738.17","49,518.41","69,448.98","75,789.26"
Iraq,"39,991.04","52,054.60","78,991.41","95,354.86","90,041.08","86,856.39","54,552.40","49,169.22","68,193.02","95,230.96"
Ireland,"138,488.62","146,912.38","159,963.24","148,284.70","142,871.83","147,028.88","158,488.89","163,024.09","173,463.25","201,517.94"
Israel,"49,130.97","57,822.68","66,983.11","65,451.61","68,291.25","70,329.09","64,632.66","60,809.17","64,579.55","65,616.48"
Italy,"397,218.81","433,398.69","507,362.82","500,418.79","510,192.81","522,578.13","459,574.64","463,081.71","508,963.33","556,328.09"
Jamaica,"1,395.91","1,135.77","1,577.67","1,369.96","1,307.91","1,287.68","1,255.48","1,049.70","1,213.65","1,538.16"
Japan,"631,412.72","810,384.15","866,830.49","876,177.80","800,164.74","772,592.91","701,192.99","708,487.01","731,067.96","774,507.43"
Jordan,"5,610.69","6,155.15","7,567.00","7,816.55","7,484.44","8,036.64","7,731.90","7,272.31","7,753.86","7,939.23"
Kazakhstan,"35,787.19","48,069.75","67,016.69","72,062.58","68,609.22","60,445.06","37,111.65","30,250.40","41,316.70","50,892.14"
Kenya,"4,479.96","4,813.35","5,892.34","6,237.58","6,433.04","7,059.16","6,245.49","5,690.88","5,782.89","6,406.97"
Kiribati,35,25.19,58.4,66.85,82.17,82.74,136.64,142.98,178.78,142.6
"Korea, Republic of","358,519.40","467,848.96","549,773.48","565,823.36","586,018.94","599,129.06","550,789.38","528,209.18","609,154.00","644,682.53"
"Kosovo, Republic of",170.15,270.58,279.38,235.41,244.13,214.47,193.34,200.43,270.35,315.68
Kuwait,"52,540.89","68,910.53","97,325.23","116,100.26","111,427.34","102,014.04","57,066.47","44,157.25","52,746.92","68,795.11"
Kyrgyz Republic,725.77,"1,173.42",878.65,"1,219.41","1,585.55","1,340.03","1,113.55",868.1,"1,436.19","1,589.18"
Lao People's Dem.Rep,"1,357.78","2,011.70","2,980.67","3,217.75","3,779.62","4,644.05","4,042.76","4,436.32","5,112.66","5,863.30"
Latvia,"8,570.52","10,017.19","13,398.56","12,887.51","13,337.62","14,083.22","11,766.53","11,941.18","12,950.91","15,671.10"
Lebanon,"2,894.13","3,209.95","3,898.43","4,665.09","4,677.71","3,889.72","3,647.89","3,454.21","3,941.28","3,512.47"
Lesotho,487.47,821.73,"1,076.59",935.66,921.77,"1,015.29",964.04,934.54,"1,130.86","1,300.94"
Liberia,"1,334.19",996.51,"1,140.98","1,267.67","1,425.30","1,472.21","1,279.87","1,114.96","1,366.18","1,557.21"
Libya,"39,000.22","50,254.38","19,284.84","59,508.34","42,766.91","20,906.95","11,647.96","9,628.38","19,509.07","29,861.93"
Lithuania,"13,806.46","17,255.34","23,528.83","24,078.80","25,236.69","25,071.72","21,530.77","21,777.65","25,898.39","29,057.64"
Luxembourg,"19,119.79","19,593.97","22,024.57","20,172.48","20,861.31","21,929.48","19,756.78","18,890.30","19,335.67","20,801.27"
Madagascar,"1,268.51","1,226.42","1,872.92","1,768.77","2,147.80","2,448.32","2,463.90","2,739.85","3,528.19","3,902.59"
Malawi,"1,003.35","1,095.89","1,295.45","1,212.86","1,149.82","1,136.38","1,020.71",977.27,986.52,"1,005.14"
Malaysia,"199,381.29","261,925.78","301,248.58","299,877.33","302,820.57","306,222.47","273,774.75","260,799.97","293,566.63","331,261.68"
Maldives,126.71,146.99,210.99,231.31,252.6,211.16,240.78,274.65,412.21,560.14
Mali,216.48,670.87,"1,002.99","2,610.01","3,005.64","3,267.89","3,638.65","2,794.12","1,652.29","3,150.08"
Malta,"4,898.89","6,412.10","6,560.33","6,688.88","6,700.98","6,193.81","5,530.32","5,999.28","4,915.52","4,785.13"
Marshall Islands,425.04,259.43,289.73,264.29,451.51,485.38,467.71,353.5,643.16,654.44
Mauritania,"2,047.02","2,518.71","3,700.77","3,358.19","3,546.24","3,272.94","2,345.70","2,410.63","2,730.53","3,192.84"
Mauritius,"2,211.14","2,419.78","2,760.93","2,928.65","3,224.21","3,168.20","3,393.25","2,906.27","2,813.58","2,906.05"
Mexico,"238,826.85","316,970.28","371,133.06","396,062.91","400,700.12","413,753.66","403,460.12","402,191.94","435,234.91","480,556.26"
Micronesia,4.99,5.32,6.72,52.21,22.52,18.5,15.97,47.81,113.86,142.11
Moldova,"1,480.76","1,716.90","2,364.76","2,396.98","2,546.44","2,762.15","2,347.44","2,299.75","2,884.19","3,320.48"
Mongolia,"1,654.76","3,086.92","4,285.99","4,462.97","4,174.24","5,727.46","4,490.37","4,557.87","5,956.43","7,299.36"
Montenegro,496.82,474.03,549.7,640.76,573.33,672.5,405.2,443.12,434.4,407.75
Montserrat,2.72,3.46,1.17,0.93,1.08,1.67,1.95,3.19,20.43,13.63
Morocco,"14,543.74","17,836.77","22,889.60","22,693.39","23,222.51","24,813.40","24,113.10","24,899.21","27,444.06","30,706.78"
Mozambique,"2,470.52","3,368.39","4,208.59","5,014.40","5,440.17","6,415.79","4,726.88","4,546.56","6,348.97","7,009.71"
Myanmar,"6,122.55","6,684.86","8,732.10","8,654.61","10,925.28","24,177.19","13,163.99","11,592.04","13,121.92","14,918.63"
Namibia,"3,157.35","3,983.82","4,726.11","4,670.32","4,188.58","4,521.13","4,764.31","4,002.64","4,734.66","6,410.47"
Nauru,25.08,76.83,76.19,98.98,87.84,53.44,46.37,19.63,39.57,41.96
Nepal,725.76,837.38,873.06,924,859.78,977.94,835.13,753.17,740.01,776.91
Netherlands,"445,803.06","519,409.20","618,561.08","599,215.83","611,608.05","610,617.99","512,014.09","507,790.46","571,576.53","640,394.03"
Netherlands Antilles,"2,549.87","3,083.34","4,259.04","3,428.07","2,410.49","2,005.39","1,107.12",883.36,843.79,547.87
New Caledonia,"1,002.96","1,479.17","1,838.23","1,477.39","1,427.95","1,627.85","1,474.00","1,364.98","1,551.27","2,062.91"
New Zealand,"25,753.04","31,498.17","38,260.56","38,308.61","40,188.47","43,940.18","36,394.77","35,309.84","39,184.67","41,507.02"
Nicaragua,"2,851.39","3,543.14","4,652.37","5,102.86","5,399.64","5,706.43","5,557.98","5,689.16","5,508.79","5,813.57"
Niger,450.7,334.1,803.22,"1,004.20","1,231.69",931.32,"1,026.95",737.68,736.68,630.05
Nigeria,"55,172.76","82,547.33","114,376.63","113,364.04","101,854.65","99,036.99","55,360.60","37,860.74","47,786.23","63,999.52"
North Korea,"1,501.58","2,288.43","3,946.70","3,349.47","3,676.60","3,461.68","3,115.21","3,153.12","2,011.10",756.9
"North Macedonia, Republic of","2,682.31","3,369.64","4,513.14","3,986.82","4,306.84","5,270.10","5,058.36","5,268.28","6,216.97","7,384.60"
Norway,"122,901.44","135,637.06","166,715.37","164,058.33","152,681.77","142,961.88","109,266.28","93,466.70","107,085.79","124,675.45"
